id,url,source_id,country,title,page_url,doc_types,mw_values,mw_bucket,relevance,local_path,size_bytes,fetched_at
41,https://wykaz.ekoportal.pl/dokument/147958,pl_ekoportal,PL,"zmiana pozwolenia na wprowadzanie gazów i pyłów do powietrza RO.7644/P-44/06/07 z 20 marca 2007r.  w zakresie zmiany wysokości emitora, zwiększenia czasu pracy silników gazowych i  [Starostwo Powiatowe w Pszczynie]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
42,https://wykaz.ekoportal.pl/dokument/147976,pl_ekoportal,PL,"pozwalnaie na wprowadzanie gazów i pyłów do powietrza dla silników gazowych w Elektrociepłowni ""Pniówek"" [Starostwo Powiatowe w Pszczynie]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
43,https://wykaz.ekoportal.pl/dokument/308137,pl_ekoportal,PL,"przebudowa i rozbudowa Cieplowni Kawęczyn, w tym budowa bloku gazowo-parowego 400MWe przy ul. Chełmżynskiej 180 [Urząd Miasta Stołecznego Warszawy]",https://wykaz.ekoportal.pl/CardList.seam,,400,>200 MW,0,,,2026-09-07 19:49:25
44,https://wykaz.ekoportal.pl/dokument/315404,pl_ekoportal,PL,"Zmiana pozwolenia zintegrowanego dla PGE ELektrociepłowni Lublin-Wrotków sp. z o.o. na eksploatację instalacji do spalania paliw w przemyśle energetycznym, składającej się z kotłów [Urząd Marszałkowski Województwa Lubelskiego]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
45,https://wykaz.ekoportal.pl/dokument/349741,pl_ekoportal,PL,"postanowienie dotyczące raportu o o oddziaływaniu na środowisko przedsięwzięcia polegającego na  przebudowie i rozbudowie EC Żerań, w tym bloku gazowo-parowego 400 MWe wraz         [Regionalna Dyrekcja Ochrony Środowiska w Warszawie]",https://wykaz.ekoportal.pl/CardList.seam,,400,>200 MW,0,,,2026-09-07 19:49:25
46,https://wykaz.ekoportal.pl/dokument/388137,pl_ekoportal,PL,"przebudowa i rozbudowa Ciepłowni Kawęczyn, budowa bloku gazowo-parowego 400 MWe przy ul. Chełmżyńskiej 180 [Urząd Miasta Stołecznego Warszawy]",https://wykaz.ekoportal.pl/CardList.seam,,400,>200 MW,0,,,2026-09-07 19:49:25
47,https://wykaz.ekoportal.pl/dokument/420996,pl_ekoportal,PL,"Wniosek o wydanie decyzji o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na nadbudowie Ciepłowni Zachód w Białymstoku, przy ul.Starosielce 2/1 zespołem silników  [Urząd Miejski w Białymstoku]",https://wykaz.ekoportal.pl/CardList.seam,,,,0,,,2026-09-07 19:49:25
48,https://wykaz.ekoportal.pl/dokument/502682,pl_ekoportal,PL,"Wniosek o wydanie decyzji o środowiskowych uwarunkowaniach dla przedsięwzięcia polegającego na budowie elektrociepłowni gazowej ""Milicz"" o mocy elektrycznej P=10 MW wraz z infrastr [Urząd Miejski w Miliczu]",https://wykaz.ekoportal.pl/CardList.seam,,10,<=20 MW,0,,,2026-09-07 19:49:25
49,https://wykaz.ekoportal.pl/dokument/561439,pl_ekoportal,PL,Raport o oddziaływaniu na środowisko przedsiewziecia pod nazwą Budowa bloku gazowo-parowego o mocy 50 MWe na terenie KGHM Polska Miedź S.A. w Polkowicach [Urząd Gminy Polkowice],https://wykaz.ekoportal.pl/CardList.seam,,50,<=50 MW,0,,,2026-09-07 19:49:25
50,https://wykaz.ekoportal.pl/dokument/561454,pl_ekoportal,PL,DEcyzja o srodowskowych uwarunkowaniach zgody na realizację przedsięwzięcia pn. Budowa bloku gazowo-parowego przez KGHM Polska Miedź SA w Polkowicach [Urząd Gminy Polkowice],https://wykaz.ekoportal.pl/CardList.seam,permit,,,0,,,2026-09-07 19:49:25
